all time stamps are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred
,C1,B2,A1,A2,B3,D1,Y,B1(MV),C2(MV),D3,D2,Z
100,115.14785,10527.88867,209.9935,1735.346069,0.799245,0.465245,3.493915,58.40625,62.375,52.123775,85.868752,1562.454346
101,115.444374,10532.54297,210.22525,1735.581055,0.801204,0.467383,3.506905,58.40625,62.375,52.122658,85.885498,1567.954102
102,115.226486,10532.34961,210.098557,1735.57373,0.796834,0.467558,3.491834,58.40625,62.375,52.121384,85.93866,1561.99585
103,115.082657,10524.63477,210.184875,1736.015625,0.80372,0.466682,3.507008,58.40625,62.375,52.123695,85.868973,1567.811279
104,115.083153,10526.36231,210.082169,1735.145264,0.804872,0.467277,3.500329,58.40625,62.375,52.127853,85.943382,1563.331421
105,114.98999,10525.54395,210.167572,1734.949341,0.807524,0.466312,3.505493,58.40625,62.375,52.118332,85.886673,1566.455688
106,115.243576,10530.85547,210.118179,1735.394409,0.802548,0.466906,3.50082,58.40625,62.375,52.111061,85.924362,1562.800903
107,115.056885,10527.28223,210.152008,1734.34314,0.802961,0.465907,3.492048,58.40625,62.375,52.12067,85.938385,1562.026001
108,115.030472,10525.66895,210.123978,1734.259888,0.800497,0.466112,3.484622,58.40625,62.375,52.128071,85.79261,1559.629883
109,115.255577,10531.93457,210.065933,1735.982788,0.796925,0.466808,3.502351,58.40625,62.375,52.129959,85.797333,1566.126099
110,115.46611,10530.63086,210.050018,1735.948486,0.802128,0.465201,3.49439,58.40625,62.375,52.127945,85.943382,1564.730957
111,114.824638,10526.75879,210.040298,1735.810059,0.80157,0.467142,3.508446,58.40625,62.375,52.127071,86.018341,1569.572998
112,115.141075,10529.39648,210.198776,1734.597168,0.800767,0.464997,3.499536,58.40625,62.375,52.146103,85.924294,1561.778076
113,115.219063,10524.76758,210.162338,1735.189331,0.799923,0.465631,3.500993,58.40625,62.375,52.162045,85.943108,1569.291992
114,115.05426,10532.44629,209.990631,1734.890137,0.7981,0.466305,3.488786,58.40625,62.375,52.174843,85.882874,1562.165405
115,115.196815,10532.88379,210.210526,1734.137451,0.79948,0.466049,3.488847,58.40625,62.375,52.181583,85.722099,1563.242188
116,114.937843,10532.94336,210.087067,1735.751709,0.800255,0.466021,3.486746,58.40625,62.375,52.187286,85.868088,1563.456665
117,115.039177,10530.87207,210.029602,1735.500488,0.797389,0.465924,3.49066,58.40625,62.375,52.191727,85.81115,1563.755859
118,115.338806,10525.30664,210.167908,1735.38562,0.796746,0.46645,3.499355,58.40625,62.375,52.199581,85.867851,1567.648926
119,114.866562,10531.74707,210.201569,1734.031616,0.802514,0.466895,3.496394,58.40625,62.375,52.216793,85.942215,1568.730591
120,115.271576,10529.45117,210.026993,1734.863892,0.796743,0.466485,3.492252,58.40625,62.375,52.231049,85.862282,1569.276489
121,115.052284,10525.94531,210.08847,1734.914429,0.80005,0.468557,3.507434,58.40625,62.375,52.240913,85.872498,1571.945557
122,115.807053,10529.89844,210.107681,1734.431152,0.800831,0.466274,3.491635,58.40625,62.375,52.234329,85.999535,1567.535034
123,115.286995,10529.86035,210.040268,1735.339478,0.800401,0.466239,3.485728,58.40625,62.375,52.231457,86.037086,1564.314575
124,115.19265,10528.93359,210.131149,1734.829224,0.798777,0.466347,3.492764,58.40625,62.375,52.229576,86.018349,1565.600098
125,115.263596,10531.66797,210.196732,1734.134644,0.799606,0.466732,3.500552,58.40625,62.375,52.222301,85.885788,1569.451172
126,115.360466,10526.01367,210.198425,1735.444214,0.801299,0.467859,3.492522,58.40625,62.375,52.217361,85.886673,1566.914429
127,115.243797,10529.8252,210.067383,1734.153076,0.803646,0.467578,3.496864,58.40625,62.375,52.225765,85.867645,1569.546021
128,114.687744,10532.35547,210.036133,1734.520996,0.800447,0.466983,3.49805,58.40625,62.375,52.231094,85.943085,1568.144653
129,115.036469,10526.70117,210.120453,1735.084961,0.799476,0.466201,3.506461,58.40625,62.375,52.223858,85.788223,1572.536133
130,114.954483,10527.30078,210.013718,1735.283936,0.800558,0.466667,3.502678,58.40625,62.375,52.222637,85.867874,1572.878784
131,114.939316,10527.65723,210.059097,1735.06604,0.803899,0.466655,3.506965,58.40625,62.375,52.217701,85.942825,1571.692871
132,115.349182,10528.69141,210.141754,1735.532471,0.799663,0.467337,3.502728,58.40625,62.375,52.220104,85.792839,1570.895386
133,115.172615,10528.74219,210.205795,1735.944946,0.795537,0.466076,3.501571,58.40625,62.375,52.222076,85.792694,1570.848511
134,115.144623,10533.13086,210.120041,1735.114258,0.799646,0.466869,3.50305,58.40625,62.375,52.224274,85.943092,1569.710815
